                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                0.72551,                0.45803,                 0.8651,                0.89131,                0.86617,                0.93462,                 0.7489,                0.68942,                0.47764,                0.88469,              0.0058816,              0.0058816,              0.0058816
                    107,                0.72584,                0.45735,                0.86575,                0.89499,                0.85998,                0.93342,                0.74927,                 0.6848,                0.47655,                0.88158,               0.005842,               0.005842,               0.005842
                    108,                0.71607,                0.45183,                0.86422,                0.90022,                0.85855,                0.93407,                0.74905,                0.68309,                0.47539,                0.87903,              0.0058024,              0.0058024,              0.0058024
                    109,                0.71813,                0.45156,                0.86341,                0.89812,                 0.8619,                 0.9346,                0.74868,                0.68281,                0.47657,                0.88047,              0.0057628,              0.0057628,              0.0057628
                    110,                0.72397,                0.45667,                0.86566,                0.89419,                0.86652,                0.93516,                0.74896,                0.68298,                 0.4748,                0.87964,              0.0057232,              0.0057232,              0.0057232
                    111,                0.71797,                0.45161,                 0.8626,                0.89443,                0.86637,                0.93603,                0.75083,                0.68044,                0.46995,                0.87785,              0.0056836,              0.0056836,              0.0056836
                    112,                 0.7211,                0.45569,                0.86498,                0.89349,                0.86846,                0.93687,                0.75068,                0.67978,                0.46648,                 0.8767,               0.005644,               0.005644,               0.005644
                    113,                 0.7162,                 0.4514,                0.86363,                0.89469,                0.86336,                0.93634,                0.74922,                0.68282,                0.46634,                0.87958,              0.0056044,              0.0056044,              0.0056044
                    114,                0.71788,                0.45246,                0.86224,                0.89726,                0.86253,                0.93549,                0.74934,                0.68394,                0.46703,                0.88347,              0.0055648,              0.0055648,              0.0055648
                    115,                0.71886,                0.45198,                 0.8621,                0.89702,                0.86538,                0.93723,                 0.7499,                0.68218,                0.46571,                0.88286,              0.0055252,              0.0055252,              0.0055252
                    116,                0.71748,                 0.4514,                0.86353,                0.89529,                0.86421,                0.93694,                0.75061,                0.68214,                0.46616,                0.88123,              0.0054856,              0.0054856,              0.0054856
                    117,                0.71271,                0.44825,                0.86261,                0.90041,                0.86054,                0.93634,                0.75061,                0.68224,                0.46553,                0.88294,               0.005446,               0.005446,               0.005446
                    118,                0.71337,                0.45031,                0.86438,                0.89939,                0.86211,                0.93606,                0.75109,                0.68303,                0.46374,                0.88585,              0.0054064,              0.0054064,              0.0054064
                    119,                0.71486,                0.44785,                0.86084,                0.89891,                0.86183,                0.93637,                0.75093,                0.68367,                 0.4665,                0.88456,              0.0053668,              0.0053668,              0.0053668
                    120,                 0.7067,                0.44474,                0.86108,                0.89691,                0.86339,                0.93625,                0.75109,                 0.6856,                0.46469,                0.88619,              0.0053272,              0.0053272,              0.0053272
